GalID,RAJ2000,DEJ2000,z,X,Y,Z,Grp,Ngal,pred_cc,pred_louvain,pred_leiden,weighted_degree,clustering_coeff
174161,171.52436,25.16845,0.04921,-192.92466632481583,28.74893355184066,91.65472918514492,27491,7.0,22287,22319,2363,0.8760746681856364,0.17285566612230244
207616,171.59112,25.14114,0.04945,-193.9313128347568,28.66799736100312,92.00298733306363,27491,7.0,22287,22319,2363,0.43571032746969496,0.05453893905990009
349347,171.51087,25.04628,0.04963,-194.7392582403013,29.066207614334115,92.00803177707905,27491,7.0,22287,22319,2363,0.2910636433222041,0.1543779682370981
380900,171.49393,25.19735,0.04996,-195.7677157547164,29.278884648461666,93.13469842901776,27491,7.0,22288,22320,27674,0.0,0.0
584414,171.51589,25.18031,0.04919,-192.8241688278063,28.76309648082468,91.65827451972568,27491,7.0,22287,22319,2363,0.8593109439738502,0.17285566612230244
75296,190.88285,-3.5593,0.0585,-250.54688732435068,-48.16995448907753,-15.869816163567274,27497,2.0,22289,22321,27675,0.0,0.0
132633,190.95881,-3.67358,0.05941,-254.29121774749342,-49.239514502447335,-16.629789944585095,27497,2.0,22290,22322,27676,0.0,0.0
75331,191.2365,53.11525,0.05382,-138.6063279236756,-27.53656390057611,188.31850239602056,27511,5.0,22291,22323,1193,0.37411756589842016,0.07734476309758036
81591,190.8851,53.18513,0.05365,-138.11498535655653,-26.559506596094142,187.90303032839225,27511,5.0,22291,22323,1193,0.8784253958081903,0.22316507832471447
194334,190.97429,53.16038,0.05365,-138.15314498415475,-26.78992167233725,187.8422583047799,27511,5.0,22291,22323,1193,1.0164446924354837,0.23592056406565878
447387,190.77263,53.10858,0.05457,-140.75568710622068,-26.780904391657604,190.89160336183255,27511,5.0,22292,22324,3094,0.064342541983056,0.0
551611,191.12956,53.22498,0.05365,-137.87214427413215,-27.123315609242788,188.00080574528607,27511,5.0,22291,22323,1193,0.7062138287111235,0.2251655331409004
75338,240.00029,52.37912,0.0482,-64.44404252534744,-111.62166063291076,167.23994591837058,27512,2.0,21674,21706,6900,0.1131163533441503,0.08600916944477884
391471,239.85605,52.34198,0.04885,-65.64259542184107,-113.03948506523415,169.38409405725452,27512,2.0,21673,21705,12690,0.07419296650918852,0.0
75383,137.33104,47.09964,0.05171,-113.2830214324664,104.42099101367272,165.79425802290731,27520,2.0,22293,22325,27677,0.0,0.0
159987,137.11907,47.07459,0.05116,-111.7624793339802,103.78680630084234,163.98587870608463,27520,2.0,15629,15661,3120,0.20594339194346414,0.0
75391,219.16478,10.59116,0.02757,-92.4980831979344,-75.34496326172012,22.30754830882417,27524,2.0,6508,6540,1836,0.3565153790200135,0.03570900592108526
176960,219.31977,10.71848,0.02776,-92.88694978259215,-76.08062505832646,22.727134337628975,27524,2.0,6508,6540,1836,0.17251647060020656,0.10712701776325577
75399,249.36312,39.54738,0.03147,-37.61530276871765,-99.87863928668006,88.12728418351747,27527,2.0,22294,22326,12691,0.47178547906765966,0.0
314578,249.45001,39.50351,0.03141,-37.41652889888106,-99.8094932900906,87.87893007127266,27527,2.0,22294,22326,12691,0.47178547906765966,0.0
75414,242.31606,29.29363,0.04714,-83.69173410145841,-159.51788716407992,101.06327614192516,27531,2.0,22295,22327,12692,0.10162116426984755,0.0
243361,242.19899,29.33214,0.04693,-83.61587117241258,-158.58483536742023,100.73865359926067,27531,2.0,22295,22327,12692,0.10162116426984755,0.0
75453,127.95093,30.19077,0.05001,-116.40105910725006,149.24985671755596,110.11940477591918,27541,4.0,22296,22328,12693,0.0733993140437221,0.0
222400,128.08513,30.16514,0.04956,-115.74239431271643,147.69067022291367,109.05640836081253,27541,4.0,22297,22329,27678,0.0,0.0
344702,128.10885,30.04966,0.05083,-118.87363219787896,151.55694594021682,111.42889227765164,27541,4.0,22298,22330,27679,0.0,0.0
394137,127.9391,30.15934,0.05027,-117.0052430249722,150.08843624085563,110.5806119485697,27541,4.0,22296,22328,12693,0.0733993140437221,0.0
75469,216.95327,57.85237,0.04097,-76.44696436166247,-57.5092252680835,152.2189739580116,27549,2.0,22299,22331,27680,0.0,0.0
421073,217.03237,57.78846,0.04046,-75.5598901245166,-57.00541871317504,150.23698600538432,27549,2.0,22300,22332,27681,0.0,0.0
75471,141.47355,54.65741,0.04928,-97.66752461821476,77.76189870966459,176.0449433655089,27550,2.0,22301,22333,27682,0.0,0.0
473401,141.51349,54.7568,0.04829,-95.54689222751853,75.96470700073463,172.76136958833322,27550,2.0,22302,22334,27683,0.0,0.0
75509,194.84506,29.88787,0.02556,-94.3442039528652,-25.00620646701387,56.09611398750213,27557,2.0,22303,22335,27684,0.0,0.0
111826,195.00467,29.90406,0.02525,-93.1225040452636,-24.96023500459158,55.44707900383477,27557,2.0,22304,22336,27685,0.0,0.0
75539,149.52583,40.95161,0.04301,-122.79340963831076,72.25630060999671,123.6407350438117,27563,3.0,11303,11335,2194,0.38665281490164793,0.12858679423226205
106320,149.56846,40.84171,0.04254,-121.72042295305567,71.5030450978792,122.03283438670759,27563,3.0,22305,22337,27686,0.0,0.0
551250,149.58528,41.06,0.04291,-122.38410792333052,71.84460076182594,123.62490275906113,27563,3.0,11303,11335,2194,0.38442209372734915,0.04286226474408735
75558,129.48426,23.27577,0.05333,-136.29039200008123,165.42603638993262,92.20115835390374,27570,2.0,22306,22338,27687,0.0,0.0
464331,129.47972,23.2275,0.05297,-135.4180990747841,164.39380916133874,91.4072982699263,27570,2.0,22307,22339,27688,0.0,0.0
75579,147.7825,25.29009,0.05724,-191.38802167737845,120.60512301161816,106.88529694724095,27574,4.0,22308,22340,27689,0.0,0.0
119392,147.76149,25.29824,0.05641,-188.59432311799625,118.94128603746337,105.38823776257443,27574,4.0,22309,22341,27690,0.0,0.0
522063,147.72239,25.32194,0.05791,-193.41796929584385,122.16800030979157,108.24609087220225,27574,4.0,22310,22342,27691,0.0,0.0
549691,147.85049,25.23923,0.05758,-192.73358924294223,121.13375755047801,107.30933254796092,27574,4.0,22311,22343,27692,0.0,0.0
75597,124.46038,55.52413,0.03366,-47.39232480081947,69.05851464962969,121.97613041934761,27579,3.0,22312,22344,27693,0.0,0.0
160310,124.19623,55.65937,0.03401,-47.39533917206652,69.74999553736019,123.4335749611782,27579,3.0,22313,22345,27694,0.0,0.0
356253,124.69977,55.42315,0.03296,-46.816445481150026,67.61211358746816,119.31466031323696,27579,3.0,3859,3890,191,0.20506388575939408,0.0
75630,147.76382,10.03893,0.05928,-215.71274812385755,136.0318746200517,45.1460972442684,27589,2.0,22314,22346,12694,0.29392075840089377,0.0
330439,147.74786,10.06045,0.05916,-215.23017679384552,135.8113675933895,45.151606594308014,27589,2.0,22314,22346,12694,0.29392075840089377,0.0
75648,232.7181,21.55095,0.03931,-97.22293610122912,-127.70701743741041,63.38895107065835,27595,3.0,15859,15891,6269,0.09138680206385295,0.0
210665,232.65304,21.48657,0.04001,-99.12906260677738,-129.90448540222854,64.3233657868243,27595,3.0,15860,15892,10970,0.1413500213017289,0.0
579084,232.55033,21.53562,0.03877,-96.27837492730822,-125.70089483957113,62.483885633005976,27595,3.0,22315,22347,27695,0.0,0.0
75707,217.18221,19.03217,0.0361,-119.4500793594526,-90.60910198103369,51.718444071406715,27609,2.0,22316,22348,3083,0.20142551688913468,0.0
133038,217.16149,19.02162,0.0364,-120.47480309056664,-91.31779067961027,52.11667227247207,27609,2.0,22316,22348,3083,0.06672744908745334,0.0
